SPECIMEN	CC.Line	Generate	DOB	Sex	Label	Colour	WeekOld	Sample.	Resolution	Length	vBMD	Mean2	BMC	MaterProp	Dia.Dia	Med.Dia	Cort.Th	Po.V	Po.diam	Polar	Areal	MaterProp.1	BVTV	Conn.D	SMI	Tb.N3D	Tb.NPl	Tb.Th3D	Sp3D	Mean1	BVTVP	Conn.DP	SMIP	Tb.N3DP	Tb.Th3DP	Sp3DP	Mean1P	BVTVD	Conn.DD	SMID	Tb.N3DD	Tb.Th3DD	Sp3DD
CC#72_M1_Femur	IL-72	37	16/12/2012	M	A	A	8.9	245	150	15.15	441.6212	  922.606	465.634	  922.606	1.528585234	1.087437919	0.2144	1E-04	    0.010	0.41797	0.29347	781.9083	0.1	119.6713	2.4384	3.4302	2.8162	0.0444	0.2937	77.9605	0.0289	3.7703	3.7646	2.5683	0.042	0.3948	35.961	0.1358	174.9281	2.2217	4.1629	0.0446	0.2346
CC#72_M2_Femur	IL-72	37	16/12/2012	M	A	A	8.9	246	150	13.88	454.9622	 1113.006	492.2987	 1113.006	1.550287854	1.144835063	0.1926	0	    0.000	0.40792	0.27557	788.8277	0.1054	99.5861	2.3172	3.111	2.641	0.0499	0.3249	74.6376	0.0254	5.432	3.9416	2.228	0.0474	0.4437	10.5919	0.1557	156.6223	2.056	4.1888	0.0502	0.2332
CC#72_M3_Femur	IL-72	37	16/12/2012	M	A	A	8.9	247	150	14.83	511.6508	 1000.579	492.8423	 1000.579	1.432686103	0.992928787	0.2094	0.0068	0.0457	0.33691	0.23974	809.8471	0.0845	84.8398	2.4897	2.2561	2.255	0.0488	0.4534	100.3298	0.0177	2.4192	2.9442	1.2577	0.0468	0.8006	54.9521	0.1191	125.7256	2.4601	3.7524	0.0488	0.2611
CC#72_F1_Femur	IL-72	37	16/12/2012	F	A	A	8.9	248	150	15.25	416.1476	  947.714	465.36	  947.714	1.540483472	1.138958901	0.1932	1E-04	    0.000	0.39623	0.26672	810.4862	0.0614	49.5742	2.8724	2.956	1.8208	0.0438	0.3364	54.5869	0.0198	1.3124	4.0191	2.355	0.0427	0.4221	30.2089	0.0849	77.2159	2.6611	3.439	0.0438	0.2872
CC#72_F2_Femur	IL-72	37	16/12/2012	F	A	A	8.9	249	150	14.41	456.8688	  949.449	471.9338	  949.449	1.431001011	1.021603864	0.1933	0.0033	0.0296	0.30935	0.22723	801.1733	0.0628	61.02	2.6942	2.0776	1.7379	0.0459	0.4939	16.8786	0.0095	4.8717	3.4192	1.2529	0.0356	0.8046	-90.4027	0.0928	89.4083	2.6084	3.2375	0.0464	0.3113
CC#72_F3_Femur	IL-72	37	16/12/2012	F	A	A	8.9	250	150	14.68	437.1874	  974.193	463.1688	  974.193	1.475443677	1.081997364	0.1912	0.0004	0.0137	0.34467	0.24764	807.2906	0.0715	82.1996	2.6452	2.8848	2.1622	0.0427	0.3405	55.226	0.0125	1.3874	3.4896	1.9038	0.034	0.5051	12.4961	0.1052	126.8721	2.5308	3.9199	0.0433	0.252
CC#3438_M1_FEMUR	IL-3438	18	21/12/2012	M	A	A	10.3	268	150	14.68	419.0693	  904.345	482.4238	  904.345	1.435216686	1.033597781	0.1943	0.0002	    0.010	0.32051	0.2312	746.3	0.069	73.6112	2.5946	3.3158	2.1601	0.0393	0.3035	45.2739	0.0126	1.5815	3.6526	2.6412	0.0257	0.3777	11.0352	0.0994	113.2407	2.2739	3.917	0.0403	0.2538
CC#3438_M2_FEMUR	IL-3438	18	21/12/2012	M	A	A	10.3	269	150	14.68	474.3077	  920.141	482.4238	  920.141	1.46904394	1.01910194	0.2207	0.0024	0.0342	0.37705	0.27427	763.5563	0.1258	158.7642	2.1388	4.4912	3.7006	0.0424	0.2217	88.9169	0.0527	48.116	3.1949	3.7384	0.035	0.2663	39.0653	0.1644	211.6267	1.7884	5.1105	0.0436	0.1922
CC#3438_M3_FEMUR	IL-3438	18	21/12/2012	M	A	A	10.3	270	150	16.06	462.7122	  939.954	453.3993	  939.954	1.411304202	0.984564978	0.2029	0.0071	0.1322	0.32572	0.22896	778.0735	0.0798	73.3849	2.7007	3.3649	2.3496	0.0432	0.2941	61.6172	0.02	9.0589	3.5015	2.7394	0.0288	0.3658	28.748	0.108	105.5168	2.404	3.8361	0.0445	0.2572
CC#111_M1_FEMUR	IL-611	27	18/12/2012	M	B	B	10.7	271	150	16.52	515.7163	  985.385	470.473	  985.385	1.475594686	1.00379459	0.227	0.0045	0.0536	0.38398	0.27759	830.0201	0.0855	84.0714	2.6124	3.5029	2.3923	0.046	0.2852	70.7817	0.0126	0	4.0924	2.6786	0.0286	0.3745	14.7299	0.1253	129.9711	2.2389	4.2409	0.047	0.2299
CC#111_M2_FEMUR	IL-611	27	18/12/2012	M	B	B	10.7	272	150	15.92	506.4998	  976.827	473.5773	  976.827	1.444951096	0.990817147	0.2191	0.0291	0.213	0.37901	0.20032	839.1426	0.0883	88.8228	2.5919	3.3173	2.4229	0.0456	0.3013	86.6756	0.0093	0	3.7208	2.4459	0.0244	0.4091	26.4858	0.1321	136.7551	2.2521	4.1608	0.0464	0.2329
CC#111_M3_FEMUR	IL-611	27	18/12/2012	M	B	B	10.7	273	150	15.63	502.7379	  992.344	498.6857	  992.344	1.445404825	1.007990653	0.2126	1E-04	    0.010	0.34109	0.24899	820.4274	0.0881	106.8177	2.8278	3.8479	2.6167	0.0443	0.2579	81.8792	0.0182	2.0118	3.5686	3.0014	0.0274	0.3304	30.7179	0.1288	166.9737	2.4339	4.6176	0.0457	0.2103
CC#2680_M2_FEMUR	IL-2680	18	17/12/2012	M	A	W	10.9	274	150	15.63	523.6162	 1002.595	519.0079	 1002.595	1.532561577	1.051356352	0.2338	0.0002	0.016	0.43889	0.29715	783.6552	0.0854	105.1802	2.7646	3.6925	2.5439	0.0431	0.266	77.6471	0.0246	11.0489	4.2891	2.7459	0.0404	0.351	38.6178	0.1133	145.9898	2.5293	4.3856	0.0434	0.2236
CC#2680_M3_FEMUR	IL-2680	18	17/12/2012	M	A	W	10.9	275	150	15.63	514.4811	  981.131	519.0079	  981.131	1.279449628	0.853505286	0.2004	0.0132	0.091	0.22609	0.18028	785.5604	0.0592	71.1679	2.5287	2.0712	1.7105	0.0435	0.4887	43.174	0.0091	0	3.6704	1.2479	0.041	0.8192	4.3701	0.0807	100.5935	2.4703	2.6198	0.0436	0.3783
CC#2750_M1_FEMUR	IL-2750	20	17/12/2012	M	A	A	10.9	276	150	14.98	511.3768	  977.297	510.9203	  977.297	1.27911621	0.853773764	0.2001	0.0138	0.107	0.22564	0.18048	778.2562	0.0546	59.0665	2.6294	1.8996	1.5489	0.0428	0.5331	38.7914	0.0079	-1.2869	3.8039	1.1426	0.0439	0.8767	2.8179	0.0747	83.8291	2.5733	2.5059	0.0427	0.3976
CC#2750_F1_FEMUR	IL-2750	20	17/12/2012	F	A	A	10.9	277	150	14.98	504.2552	  927.354	531.6102	  927.354	1.18812486	0.781918728	0.1978	0.0002	    0.010	0.16299	0.14873	783.3691	0.0283	30.2882	3.0369	1.6096	0.804	0.0421	0.6234	17.4264	2e-04	0	5.3466	1.0342	0.019	0.9677	1.9962	0.0407	43.6629	3.0277	1.962	0.0422	0.5159
CC#2750_F2_FEMUR	IL-2750	20	17/12/2012	F	A	A	10.9	278	150	14.98	468.2817	  931.371	531.6102	  931.371	1.251132858	0.869664891	0.1862	1E-04	0.01	0.18955	0.1578	791.4039	0.0365	35.5473	2.3666	1.4246	0.9822	0.0446	0.717	15.0526	0.0021	-0.9218	3.3497	1.0053	0.0386	0.9946	0.444	0.0549	54.4714	2.3524	1.7367	0.0447	0.5814
CC#4457_M1_FEMUR	IL-4457	20	16/12/2012	M	A	W	11	279	150	15.57	564.424	  970.449	508.2866	  970.449	1.605116886	1.027122593	0.2839	0.0003	0.01	0.56098	0.35705	776.4301	0.1681	170.0641	1.9736	4.3769	4.04	0.0544	0.2277	130.5511	0.0811	57.3348	2.867	3.574	0.046	0.2838	68.9215	0.2192	229.3163	1.6395	5.0694	0.0561	0.1883
CC#4457_M1-1_FEMUR	IL-4457	NA	13/12/2012	M	A	W	9.3	280	150	15.57	530.6697	  976.544	508.2866	  976.544	1.696089393	1.13874648	0.2663	0.0002	0.0159	0.67097	0.4245	812.2454	0.1917	193.0087	1.8043	4.5491	4.3992	0.0553	0.2174	167.3676	0.0793	44.2782	3.0128	3.4748	0.0491	0.2818	81.409	0.2716	286.8581	1.3611	5.8819	0.0564	0.1597
CC#4457_M2_FEMUR	IL-4457	NA	13/12/2012	M	A	W	9.3	281	150	15.57	464.649	  921.997	508.2866	  921.997	1.430894236	1.00440325	0.2054	0.0049	0.0564	0.3226	0.2284	819.1107	0.0824	86.2319	2.6728	2.7689	2.2889	0.0457	0.3649	70.4996	0.0161	1.6485	3.9455	-	0.0393	0.5731	27.6143	0.1159	128.5881	2.5525	3.92	0.0462	0.2481
CC#4457_F1_FEMUR	IL-4457	NA	13/12/2012	F	A	W	9.3	282	150	15.5	552.4633	  918.863	454.0385	  918.863	1.395230688	0.859473901	0.2537	0.0003	0.01	0.3296	0.24866	835.3207	0.1492	93.4574	2.3674	3.6507	3.1065	0.0669	0.2745	137.2163	0.0559	20.5168	3.1976	3.0991	0.0457	0.3232	69.378	0.1949	127.3351	1.979	3.9802	0.0699	0.2479
CC#4457_F2_FEMUR	IL-4457	NA	13/12/2012	F	A	W	9.3	283	150	15.5	505.0891	  982.281	473.0192	  982.281	1.535644867	1.064630378	0.2283	0.0002	    0.013	0.42975	0.28831	791.1299	0.1138	93.6203	2.3746	3.3339	2.7328	0.0556	0.3049	81.7952	0.0518	27.0535	3.4886	3.0338	0.0525	0.3346	40.5262	0.151	126.8956	1.9509	3.5766	0.0562	0.2829
CC#4457_F3_FEMUR	IL-4457	NA	13/12/2012	F	A	W	9.3	284	150	15.5	550.4547	  909.641	473.0192	  909.641	1.452097292	0.906601928	0.2639	0.0058	0.0896	0.3832	0.25799	818.6122	0.1786	113.8804	1.8163	3.7867	3.7155	0.0604	0.2657	153.6509	0.0685	33.0436	2.8698	2.7737	0.0486	0.3689	83.1647	0.2343	150.3453	1.4643	4.6429	0.0621	0.2044
