from	to	from.marker	to.marker	width	from.bp	to.bp	chromosome	logP
1	20	JAX00000002	JAX00000020	20	3036178	3245440	chr1	7.40566863643091
21	40	JAX00000021	JAX00240637	20	3255597	3384323	chr1	7.22956247217082
41	60	JAX00240639	JAX00240710	20	3394268	3731739	chr1	7.20721405719102
61	80	JAX00240722	JAX00240769	20	3802346	4085361	chr1	7.1038945222678
81	100	JAX00240770	JAX00240818	20	4087308	4391468	chr1	7.11750270060722
101	120	JAX00240819	UNC19217	20	4393280	4658505	chr1	7.63227249839809
121	140	JAX00000126	JAX00240924	20	4667943	4960568	chr1	7.76195442411806
141	160	JAX00000148	JAX00000161	20	4978456	5123929	chr1	7.76012465716675
161	180	JAX00240956	JAX00241009	20	5132457	5593015	chr1	7.75790795160718
181	200	UNC26205	UNC010516347	20	5624267	6010860	chr1	7.74990053287536
201	220	JAX00241078	JAX00241108	20	6065566	6314860	chr1	7.65308568459608
221	240	JAX00000248	JAX00000269	20	6315292	6580655	chr1	7.6522416246761
241	260	JAX00241158	UNC011026542	20	6590272	6767977	chr1	7.65626986442468
261	280	JAX00241207	JAX00241237	20	6778077	6919380	chr1	7.82036580374797
281	300	JAX00241239	JAX00241289	20	6921404	7333833	chr1	7.82954759855369
301	320	JAX00000330	JAX00241338	20	7420993	7763552	chr1	7.91726568774739
321	340	JAX00241342	JAX00241384	20	7816568	8136414	chr1	8.03301529811692
341	360	JAX00190729	JAX00241440	20	8137539	8517457	chr1	8.03212458385121
361	380	UNC66010	JAX00241502	20	8544211	8910453	chr1	7.96010867774045
381	400	JAX00000436	JAX00241550	20	8914681	9178334	chr1	7.87723992407407
401	420	JAX00000458	JAX00241589	20	9180355	9549865	chr1	7.84826721557354
421	440	JAX00241590	JAX00241642	20	9550177	9713103	chr1	7.81208277898733
441	460	JAX00241643	JAX00241683	20	9716383	9952456	chr1	7.83196037582169
461	480	UNC85539	UNC88286	20	9954784	10201611	chr1	7.84640592187649
481	500	JAX00241734	UNC91280	20	10209065	10494921	chr1	7.85079706035303
501	520	JAX00241773	UNC94417	20	10534417	10731756	chr1	7.85545509426201
521	540	JAX00241808	JAX00241841	20	10763382	11028144	chr1	7.85899521321304
541	560	JAX00241843	JAX00241881	20	11045249	11174557	chr1	7.95151578298394
561	580	JAX00241884	JAX00241934	20	11176948	11370444	chr1	8.05343945652929
581	600	JAX00190793	JAX00241974	20	11371422	11643601	chr1	8.08837311478082
601	620	JAX00241975	UNC114802	20	11659906	11944711	chr1	8.26749844728976
621	640	JAX00242016	UNC117421	20	11945312	12171863	chr1	8.23322647886612
641	660	UNC118279	JAX00242103	20	12223307	12501630	chr1	8.21201874717303
661	680	JAX00000706	JAX00242135	20	12506479	12770480	chr1	8.21429941408363
681	700	JAX00242136	JAX00242196	20	12770774	12931193	chr1	8.2209537523817
701	720	JAX00242197	JAX00242249	20	12932369	13082083	chr1	8.38274470715805
721	740	JAX00242250	JAX00242300	20	13082283	13204708	chr1	8.64101007166551
741	760	JAX00242307	JAX00242347	20	13225267	13331027	chr1	8.634384089964
761	780	JAX00242351	UNC_rs50672660	20	13333935	13643779	chr1	8.6310979630358
781	800	JAX00242423	JAX00242464	20	13644220	13780770	chr1	8.60824944672076
801	820	JAX00190851	JAX00000823	20	13791733	14065376	chr1	8.60098014338084
821	840	JAX00000824	JAX00242551	20	14067111	14281913	chr1	7.9704019386712
841	860	JAX00000840	JAX00242586	20	14287199	14533976	chr1	7.67980135644568
861	880	JAX00242592	JAX00242621	20	14558862	14726278	chr1	7.53617200497074
881	900	JAX00242633	UNC155247	20	14743473	14899115	chr1	7.50340613944879
901	920	UNC156797	JAX00000917	20	15009358	15311702	chr1	7.58625706260123
921	940	JAX00242731	JAX00242782	20	15312015	15444704	chr1	7.57512670931836
941	960	JAX00242783	JAX00000946	20	15444915	15698981	chr1	7.56271320394321
961	980	JAX00242837	JAX00242870	20	15699075	15806842	chr1	7.68687491592509
981	1000	JAX00242872	JAX00000962	20	15807212	15897608	chr1	7.73083373204406
1001	1020	JAX00242913	JAX00242956	20	15914927	16229368	chr1	7.59561776516182
1021	1040	JAX00242961	JAX00243012	20	16235840	16616526	chr1	6.84222588102106
1041	1060	JAX00243014	JAX00001042	20	16629188	16987502	chr1	7.22267739129771
1061	1080	JAX00001043	UNC187637	20	17003453	17311417	chr1	8.56477981091826
1081	1100	JAX00243118	JAX00243212	20	17315373	17739246	chr1	8.33560157567525
1101	1120	JAX00243213	JAX00243269	20	17742752	18123873	chr1	8.18954491551595
1121	1140	JAX00243271	JAX00190945	20	18135997	18454027	chr1	8.13779948429971
1141	1160	JAX00243329	JAX00190952	20	18457577	18719231	chr1	8.1520108651473
1161	1180	JAX00243387	JAX00243430	20	18749697	18966677	chr1	8.15420832173155
1181	1200	JAX00243437	JAX00243486	20	19019130	19443012	chr1	8.22302952638427
1201	1220	JAX00001227	UNC222054	20	19445165	19707165	chr1	8.27195533082101
1221	1240	JAX00001247	JAX00243588	20	19722593	19863627	chr1	8.27111188823534
1241	1260	JAX00001257	JAX00001274	20	19867877	20064029	chr1	8.2702961114371
1261	1280	UNC227355	JAX00001294	20	20074019	20341218	chr1	8.26948640631857
1281	1300	JAX00243693	JAX00243731	20	20367232	20541966	chr1	8.27076692483618
1301	1320	JAX00243741	JAX00243797	20	20561596	20793448	chr1	8.27149827981042
1321	1340	JAX00243802	UNC241230	20	20806285	20938029	chr1	8.26914706007194
1341	1360	JAX00243846	UNC244201	20	20942963	21116072	chr1	8.26722217917714
1361	1380	JAX00243889	JAX00001366	20	21117333	21306616	chr1	8.28398096489912
1381	1400	JAX00243950	JAX00243994	20	21377571	21589062	chr1	8.36284526799535
1401	1420	JAX00001388	JAX00244053	20	21589916	21719729	chr1	8.36509851453284
1421	1440	JAX00244057	JAX00244094	20	21724793	21983887	chr1	8.35608353057947
1441	1460	JAX00244096	JAX00244129	20	21999637	22262727	chr1	8.35684248394039
1461	1480	JAX00244130	UNC264385	20	22262996	22421498	chr1	8.37079355489393
1481	1500	UNC264416	JAX00244210	20	22475222	22680881	chr1	8.36845423488522
1501	1520	JAX00001469	JAX00001477	20	22718471	22819589	chr1	8.6477687182901
1521	1540	JAX00244248	JAX00244290	20	22841527	23075605	chr1	8.72959765273591
1541	1560	JAX00244291	JAX00244326	20	23075817	23270174	chr1	8.71326689037573
1561	1580	UNC276290	JAX00244359	20	23293039	23484110	chr1	8.68371632734792
1581	1600	UNC278894	JAX00244396	20	23484917	23658640	chr1	8.2222955724115
1601	1620	JAX00001539	UNC283190	20	23682723	23784570	chr1	8.18652097940559
1621	1640	JAX00244437	JAX00244469	20	23816672	23958732	chr1	8.17808847924522
1641	1660	JAX00001563	JAX00001575	20	23973025	24147946	chr1	8.25739438678559
1661	1680	JAX00001577	JAX00244590	20	24149191	24326205	chr1	8.25820260879314
1681	1700	JAX00244591	JAX00244642	20	24326238	24515849	chr1	8.25590868550631
1701	1720	UNC295267	JAX00001615	20	24516479	24672104	chr1	8.17318540822286
1721	1740	UNC298468	JAX00244724	20	24739294	24935351	chr1	8.00640589740359
1741	1760	JAX00244725	UNC304098	20	24935730	25133192	chr1	8.00480290018071
1761	1780	JAX00001646	JAX00191084	20	25133724	25360787	chr1	8.00294751348944
1781	1800	JAX00244799	JAX00244845	20	25360850	25501465	chr1	8.0007830820583
1801	1820	JAX00244848	JAX00001692	20	25508556	25754788	chr1	7.969980295496
1821	1840	UNC311195	JAX00188692	20	25757843	25997237	chr1	7.27369208900787
1841	1860	UNC315252	JAX00245023	20	25997697	26170765	chr1	7.27930354049076
1861	1880	JAX00001724	JAX00245052	20	26171240	26420298	chr1	7.47909032033513
1881	1900	JAX00001743	JAX00245090	20	26435495	26690674	chr1	7.44404117546434
1901	1920	JAX00245093	JAX00245137	20	26692385	26908686	chr1	7.51095391246557
1921	1940	JAX00001781	JAX00245186	20	26937623	27403088	chr1	7.54808451231768
1941	1960	UNC337071	UNC340151	20	27421620	27730678	chr1	7.52641921623018
1961	1980	JAX00001840	JAX00245257	20	27739870	28023650	chr1	7.52667216458657
1981	2000	JAX00245264	JAX00001905	20	28047832	28616227	chr1	7.45571251617317
2001	2020	JAX00001906	JAX00001932	20	28616775	28958204	chr1	7.51841979415829
2021	2040	JAX00001933	JAX00245405	20	28961078	29342614	chr1	7.47476012613294
2041	2060	JAX00001962	JAX00001993	20	29354689	29771557	chr1	7.47892767082308
2061	2080	JAX00245460	JAX00245507	20	29808891	30134369	chr1	7.50798501294507
2081	2100	JAX00002024	UNC369354	20	30183383	30480686	chr1	7.53533906963477
2101	2120	JAX00002048	UNC372374	20	30487284	30815119	chr1	7.51869243638941
2121	2140	JAX00245580	JAX00191216	20	30816013	31043591	chr1	7.32644648569909
2141	2160	JAX00245613	JAX00245656	20	31054582	31179916	chr1	7.29246670814564
2161	2180	JAX00245662	UNC379621	20	31191703	31507899	chr1	7.35365195962508
2181	2200	JAX00002126	UNC382234	20	31533135	31785145	chr1	7.39005115345868
2201	2220	JAX00002145	JAX00002174	20	31812815	32182924	chr1	7.27416777799978
2221	2240	JAX00245759	JAX00002190	20	32184323	32400679	chr1	7.28402364469889
