from	to	from.marker	to.marker	width	from.bp	to.bp	chromosome	logP	pointwise.permute.pval	genomewide.permute.pval
1	20	JAX00000002	JAX00000020	20	3036178	3245440	chr1	0.180571586677818	0.735	1.005
21	40	JAX00000021	JAX00240637	20	3255597	3384323	chr1	0.17923882907399	0.745	1.005
41	60	JAX00240639	JAX00240710	20	3394268	3731739	chr1	0.176957762477712	0.75	1.005
61	80	JAX00240722	JAX00240769	20	3802346	4085361	chr1	0.162654970934175	0.75	1.005
81	100	JAX00240770	JAX00240818	20	4087308	4391468	chr1	0.163211454240316	0.75	1.005
101	120	JAX00240819	UNC19217	20	4393280	4658505	chr1	0.166185491050508	0.74	1.005
121	140	JAX00000126	JAX00240924	20	4667943	4960568	chr1	0.164546918716327	0.74	1.005
141	160	JAX00000148	JAX00000161	20	4978456	5123929	chr1	0.162872738895622	0.75	1.005
161	180	JAX00240956	JAX00241009	20	5132457	5593015	chr1	0.160808231972982	0.75	1.005
181	200	UNC26205	UNC010516347	20	5624267	6010860	chr1	0.156619259657664	0.765	1.005
201	220	JAX00241078	JAX00241108	20	6065566	6314860	chr1	0.131516301829102	0.79	1.005
221	240	JAX00000248	JAX00000269	20	6315292	6580655	chr1	0.131311444783886	0.795	1.005
241	260	JAX00241158	UNC011026542	20	6590272	6767977	chr1	0.131416055678137	0.795	1.005
261	280	JAX00241207	JAX00241237	20	6778077	6919380	chr1	0.13970504975361	0.815	1.005
281	300	JAX00241239	JAX00241289	20	6921404	7333833	chr1	0.140214264857177	0.81	1.005
301	320	JAX00000330	JAX00241338	20	7420993	7763552	chr1	0.142883916518344	0.795	1.005
321	340	JAX00241342	JAX00241384	20	7816568	8136414	chr1	0.149527777757634	0.8	1.005
341	360	JAX00190729	JAX00241440	20	8137539	8517457	chr1	0.153857702027017	0.79	1.005
361	380	UNC66010	JAX00241502	20	8544211	8910453	chr1	0.143123847302648	0.8	1.005
381	400	JAX00000436	JAX00241550	20	8914681	9178334	chr1	0.126988493766815	0.845	1.005
401	420	JAX00000458	JAX00241589	20	9180355	9549865	chr1	0.160944757267354	0.76	1.005
421	440	JAX00241590	JAX00241642	20	9550177	9713103	chr1	0.194144094030881	0.73	1.005
441	460	JAX00241643	JAX00241683	20	9716383	9952456	chr1	0.192372832570548	0.73	1.005
461	480	UNC85539	UNC88286	20	9954784	10201611	chr1	0.192541046784336	0.73	1.005
481	500	JAX00241734	UNC91280	20	10209065	10494921	chr1	0.193989318692197	0.73	1.005
501	520	JAX00241773	UNC94417	20	10534417	10731756	chr1	0.195476983772515	0.725	1.005
521	540	JAX00241808	JAX00241841	20	10763382	11028144	chr1	0.196541163505035	0.72	1.005
541	560	JAX00241843	JAX00241881	20	11045249	11174557	chr1	0.211057730478785	0.69	1.005
561	580	JAX00241884	JAX00241934	20	11176948	11370444	chr1	0.228044266258396	0.645	1.005
581	600	JAX00190793	JAX00241974	20	11371422	11643601	chr1	0.236444241804809	0.64	1.005
601	620	JAX00241975	UNC114802	20	11659906	11944711	chr1	0.378558239162339	0.505	1.005
621	640	JAX00242016	UNC117421	20	11945312	12171863	chr1	0.386436042778985	0.495	1.005
641	660	UNC118279	JAX00242103	20	12223307	12501630	chr1	0.390249417146532	0.49	1.005
661	680	JAX00000706	JAX00242135	20	12506479	12770480	chr1	0.399091086338315	0.47	1.005
681	700	JAX00242136	JAX00242196	20	12770774	12931193	chr1	0.401386026344245	0.465	1.005
701	720	JAX00242197	JAX00242249	20	12932369	13082083	chr1	0.411890782827219	0.455	1.005
721	740	JAX00242250	JAX00242300	20	13082283	13204708	chr1	0.40987842894228	0.465	1.005
741	760	JAX00242307	JAX00242347	20	13225267	13331027	chr1	0.408161748203347	0.475	1.005
761	780	JAX00242351	UNC_rs50672660	20	13333935	13643779	chr1	0.407791214725464	0.48	1.005
781	800	JAX00242423	JAX00242464	20	13644220	13780770	chr1	0.403642560040693	0.49	1.005
801	820	JAX00190851	JAX00000823	20	13791733	14065376	chr1	0.403323744843642	0.49	1.005
821	840	JAX00000824	JAX00242551	20	14067111	14281913	chr1	0.401546165504538	0.47	1.005
841	860	JAX00000840	JAX00242586	20	14287199	14533976	chr1	0.40086968877672	0.48	1.005
861	880	JAX00242592	JAX00242621	20	14558862	14726278	chr1	0.405642496022235	0.49	1.005
881	900	JAX00242633	UNC155247	20	14743473	14899115	chr1	0.405779495056467	0.485	1.005
901	920	UNC156797	JAX00000917	20	15009358	15311702	chr1	0.397671963215015	0.5	1.005
921	940	JAX00242731	JAX00242782	20	15312015	15444704	chr1	0.393833882120846	0.495	1.005
941	960	JAX00242783	JAX00000946	20	15444915	15698981	chr1	0.38467700053022	0.495	1.005
961	980	JAX00242837	JAX00242870	20	15699075	15806842	chr1	0.385628033197913	0.49	1.005
981	1000	JAX00242872	JAX00000962	20	15807212	15897608	chr1	0.390209352155552	0.49	1.005
1001	1020	JAX00242913	JAX00242956	20	15914927	16229368	chr1	0.416535156415048	0.445	1.005
1021	1040	JAX00242961	JAX00243012	20	16235840	16616526	chr1	0.460652547195739	0.42	1.005
1041	1060	JAX00243014	JAX00001042	20	16629188	16987502	chr1	0.448359344550825	0.44	1.005
1061	1080	JAX00001043	UNC187637	20	17003453	17311417	chr1	0.452348421487019	0.45	1.005
1081	1100	JAX00243118	JAX00243212	20	17315373	17739246	chr1	0.425278831089708	0.455	1.005
1101	1120	JAX00243213	JAX00243269	20	17742752	18123873	chr1	0.407913876868323	0.465	1.005
1121	1140	JAX00243271	JAX00190945	20	18135997	18454027	chr1	0.44269717176953	0.47	1.005
1141	1160	JAX00243329	JAX00190952	20	18457577	18719231	chr1	0.502452351756029	0.385	1.005
1161	1180	JAX00243387	JAX00243430	20	18749697	18966677	chr1	0.496158683896008	0.39	1.005
1181	1200	JAX00243437	JAX00243486	20	19019130	19443012	chr1	0.498816317133287	0.38	1.005
1201	1220	JAX00001227	UNC222054	20	19445165	19707165	chr1	0.541039796481544	0.315	1.005
1221	1240	JAX00001247	JAX00243588	20	19722593	19863627	chr1	0.541234317194685	0.32	1.005
1241	1260	JAX00001257	JAX00001274	20	19867877	20064029	chr1	0.541212432543932	0.32	1.005
1261	1280	UNC227355	JAX00001294	20	20074019	20341218	chr1	0.541201002125917	0.315	1.005
