from	to	from.marker	to.marker	width	from.bp	to.bp	chromosome	logP	pointwise.permute.pval	genomewide.permute.pval
1	20	JAX00000002	JAX00000020	20	3036178	3245440	chr1	0.116114849696665	0.735	1.005
21	40	JAX00000021	JAX00240637	20	3255597	3384323	chr1	0.0946528811722952	0.8	1.005
41	60	JAX00240639	JAX00240710	20	3394268	3731739	chr1	0.0958161490031433	0.79	1.005
61	80	JAX00240722	JAX00240769	20	3802346	4085361	chr1	0.103026629768514	0.79	1.005
81	100	JAX00240770	JAX00240818	20	4087308	4391468	chr1	0.102913616423276	0.79	1.005
101	120	JAX00240819	UNC19217	20	4393280	4658505	chr1	0.12675718711874	0.715	1.005
121	140	JAX00000126	JAX00240924	20	4667943	4960568	chr1	0.139476751812819	0.685	1.005
141	160	JAX00000148	JAX00000161	20	4978456	5123929	chr1	0.141135914968525	0.685	1.005
161	180	JAX00240956	JAX00241009	20	5132457	5593015	chr1	0.14299769923617	0.68	1.005
181	200	UNC26205	UNC010516347	20	5624267	6010860	chr1	0.146096112001712	0.68	1.005
201	220	JAX00241078	JAX00241108	20	6065566	6314860	chr1	0.164566019480096	0.665	1.005
221	240	JAX00000248	JAX00000269	20	6315292	6580655	chr1	0.163210365114224	0.665	1.005
241	260	JAX00241158	UNC011026542	20	6590272	6767977	chr1	0.160316300270352	0.67	1.005
261	280	JAX00241207	JAX00241237	20	6778077	6919380	chr1	0.13193449772407	0.72	1.005
281	300	JAX00241239	JAX00241289	20	6921404	7333833	chr1	0.130488777930006	0.72	1.005
301	320	JAX00000330	JAX00241338	20	7420993	7763552	chr1	0.126769072659429	0.725	1.005
321	340	JAX00241342	JAX00241384	20	7816568	8136414	chr1	0.12100153939399	0.725	1.005
341	360	JAX00190729	JAX00241440	20	8137539	8517457	chr1	0.116626876819677	0.735	1.005
361	380	UNC66010	JAX00241502	20	8544211	8910453	chr1	0.108656070377585	0.765	1.005
381	400	JAX00000436	JAX00241550	20	8914681	9178334	chr1	0.104128520925694	0.765	1.005
401	420	JAX00000458	JAX00241589	20	9180355	9549865	chr1	0.115062860091585	0.765	1.005
421	440	JAX00241590	JAX00241642	20	9550177	9713103	chr1	0.126718386737204	0.73	1.005
441	460	JAX00241643	JAX00241683	20	9716383	9952456	chr1	0.124139449528893	0.73	1.005
461	480	UNC85539	UNC88286	20	9954784	10201611	chr1	0.121303259001507	0.73	1.005
481	500	JAX00241734	UNC91280	20	10209065	10494921	chr1	0.120182526287015	0.735	1.005
501	520	JAX00241773	UNC94417	20	10534417	10731756	chr1	0.118914071439319	0.74	1.005
521	540	JAX00241808	JAX00241841	20	10763382	11028144	chr1	0.118320860901131	0.74	1.005
541	560	JAX00241843	JAX00241881	20	11045249	11174557	chr1	0.137577309581407	0.71	1.005
561	580	JAX00241884	JAX00241934	20	11176948	11370444	chr1	0.156123598665958	0.685	1.005
581	600	JAX00190793	JAX00241974	20	11371422	11643601	chr1	0.155995857323169	0.68	1.005
601	620	JAX00241975	UNC114802	20	11659906	11944711	chr1	0.14808978466468	0.675	1.005
621	640	JAX00242016	UNC117421	20	11945312	12171863	chr1	0.147436555734401	0.675	1.005
641	660	UNC118279	JAX00242103	20	12223307	12501630	chr1	0.147743563537147	0.68	1.005
661	680	JAX00000706	JAX00242135	20	12506479	12770480	chr1	0.15345076322771	0.685	1.005
