from	to	from.marker	to.marker	width	from.bp	to.bp	chromosome	logP	pointwise.permute.pval	genomewide.permute.pval
1	20	JAX00000002	JAX00000020	20	3036178	3245440	chr1	0.891675726598792	0.155	1.005
21	40	JAX00000021	JAX00240637	20	3255597	3384323	chr1	0.685807259826872	0.24	1.005
41	60	JAX00240639	JAX00240710	20	3394268	3731739	chr1	0.699621406099353	0.235	1.005
61	80	JAX00240722	JAX00240769	20	3802346	4085361	chr1	0.786104624803875	0.21	1.005
81	100	JAX00240770	JAX00240818	20	4087308	4391468	chr1	0.786035805676422	0.21	1.005
101	120	JAX00240819	UNC19217	20	4393280	4658505	chr1	0.867098169830126	0.165	1.005
121	140	JAX00000126	JAX00240924	20	4667943	4960568	chr1	0.887837736403656	0.155	1.005
141	160	JAX00000148	JAX00000161	20	4978456	5123929	chr1	0.885270515347741	0.155	1.005
161	180	JAX00240956	JAX00241009	20	5132457	5593015	chr1	0.880268226624889	0.155	1.005
181	200	UNC26205	UNC010516347	20	5624267	6010860	chr1	0.879126075135284	0.15	1.005
201	220	JAX00241078	JAX00241108	20	6065566	6314860	chr1	0.966902520740857	0.125	1.005
221	240	JAX00000248	JAX00000269	20	6315292	6580655	chr1	0.979717764444403	0.12	1.005
241	260	JAX00241158	UNC011026542	20	6590272	6767977	chr1	0.991592742246975	0.12	1.005
261	280	JAX00241207	JAX00241237	20	6778077	6919380	chr1	1.09821666705533	0.09	1.005
281	300	JAX00241239	JAX00241289	20	6921404	7333833	chr1	1.10438363680382	0.09	1.005
301	320	JAX00000330	JAX00241338	20	7420993	7763552	chr1	1.22001061534808	0.09	1.005
321	340	JAX00241342	JAX00241384	20	7816568	8136414	chr1	1.40429322783316	0.06	1.005
341	360	JAX00190729	JAX00241440	20	8137539	8517457	chr1	1.41749289344256	0.05	1.005
361	380	UNC66010	JAX00241502	20	8544211	8910453	chr1	1.45000741458093	0.05	1.005
381	400	JAX00000436	JAX00241550	20	8914681	9178334	chr1	1.47028182997581	0.05	1.005
401	420	JAX00000458	JAX00241589	20	9180355	9549865	chr1	1.53044088543609	0.04	1.005
421	440	JAX00241590	JAX00241642	20	9550177	9713103	chr1	1.55996358038781	0.03	1.005
441	460	JAX00241643	JAX00241683	20	9716383	9952456	chr1	1.57632851259517	0.03	1.005
461	480	UNC85539	UNC88286	20	9954784	10201611	chr1	1.57803766766893	0.03	1.005
481	500	JAX00241734	UNC91280	20	10209065	10494921	chr1	1.57233578685642	0.03	1.005
501	520	JAX00241773	UNC94417	20	10534417	10731756	chr1	1.56668301435589	0.03	1.005
521	540	JAX00241808	JAX00241841	20	10763382	11028144	chr1	1.56310522660299	0.03	1.005
541	560	JAX00241843	JAX00241881	20	11045249	11174557	chr1	1.60217758409951	0.03	1.005
561	580	JAX00241884	JAX00241934	20	11176948	11370444	chr1	1.64912045487733	0.03	1.005
581	600	JAX00190793	JAX00241974	20	11371422	11643601	chr1	1.64737488952252	0.03	1.005
601	620	JAX00241975	UNC114802	20	11659906	11944711	chr1	1.64863095510876	0.03	1.005
621	640	JAX00242016	UNC117421	20	11945312	12171863	chr1	1.64291686320325	0.03	1.005
641	660	UNC118279	JAX00242103	20	12223307	12501630	chr1	1.63777602473148	0.03	1.005
661	680	JAX00000706	JAX00242135	20	12506479	12770480	chr1	1.64761781354311	0.035	1.005
681	700	JAX00242136	JAX00242196	20	12770774	12931193	chr1	1.65552632420774	0.035	1.005
701	720	JAX00242197	JAX00242249	20	12932369	13082083	chr1	1.65628827710969	0.035	1.005
721	740	JAX00242250	JAX00242300	20	13082283	13204708	chr1	1.77875401323997	0.03	1.005
741	760	JAX00242307	JAX00242347	20	13225267	13331027	chr1	1.79467383429175	0.03	1.005
761	780	JAX00242351	UNC_rs50672660	20	13333935	13643779	chr1	1.81773980876579	0.035	0.995
781	800	JAX00242423	JAX00242464	20	13644220	13780770	chr1	1.85376729122425	0.035	0.985
801	820	JAX00190851	JAX00000823	20	13791733	14065376	chr1	1.87926572179386	0.035	0.985
821	840	JAX00000824	JAX00242551	20	14067111	14281913	chr1	1.7838609117744	0.04	1.005
841	860	JAX00000840	JAX00242586	20	14287199	14533976	chr1	1.82220502270454	0.025	0.995
861	880	JAX00242592	JAX00242621	20	14558862	14726278	chr1	1.808124849985	0.02	1
881	900	JAX00242633	UNC155247	20	14743473	14899115	chr1	1.8106692264795	0.02	0.995
901	920	UNC156797	JAX00000917	20	15009358	15311702	chr1	1.81267880904048	0.02	0.995
921	940	JAX00242731	JAX00242782	20	15312015	15444704	chr1	1.82066158917057	0.02	0.995
941	960	JAX00242783	JAX00000946	20	15444915	15698981	chr1	1.82963923070908	0.02	0.995
961	980	JAX00242837	JAX00242870	20	15699075	15806842	chr1	1.78715352858467	0.02	1.005
981	1000	JAX00242872	JAX00000962	20	15807212	15897608	chr1	1.76325542667343	0.025	1.005
1001	1020	JAX00242913	JAX00242956	20	15914927	16229368	chr1	1.74605455706813	0.03	1.005
1021	1040	JAX00242961	JAX00243012	20	16235840	16616526	chr1	1.471336271366	0.07	1.005
1041	1060	JAX00243014	JAX00001042	20	16629188	16987502	chr1	1.49098192859705	0.07	1.005
1061	1080	JAX00001043	UNC187637	20	17003453	17311417	chr1	1.7015675032338	0.045	1.005
1081	1100	JAX00243118	JAX00243212	20	17315373	17739246	chr1	1.65008384472441	0.035	1.005
1101	1120	JAX00243213	JAX00243269	20	17742752	18123873	chr1	1.53405095136577	0.055	1.005
1121	1140	JAX00243271	JAX00190945	20	18135997	18454027	chr1	1.52794208315481	0.07	1.005
1141	1160	JAX00243329	JAX00190952	20	18457577	18719231	chr1	1.65830813592969	0.055	1.005
1161	1180	JAX00243387	JAX00243430	20	18749697	18966677	chr1	1.66982487677474	0.05	1.005
1181	1200	JAX00243437	JAX00243486	20	19019130	19443012	chr1	1.67713491707918	0.055	1.005
1201	1220	JAX00001227	UNC222054	20	19445165	19707165	chr1	1.72212648831679	0.04	1.005
1221	1240	JAX00001247	JAX00243588	20	19722593	19863627	chr1	1.72203376377029	0.04	1.005
1241	1260	JAX00001257	JAX00001274	20	19867877	20064029	chr1	1.72149365104349	0.04	1.005
1261	1280	UNC227355	JAX00001294	20	20074019	20341218	chr1	1.72075943095179	0.04	1.005
1281	1300	JAX00243693	JAX00243731	20	20367232	20541966	chr1	1.72003158454493	0.035	1.005
1301	1320	JAX00243741	JAX00243797	20	20561596	20793448	chr1	1.71955736958364	0.035	1.005
1321	1340	JAX00243802	UNC241230	20	20806285	20938029	chr1	1.73395586120009	0.035	1.005
1341	1360	JAX00243846	UNC244201	20	20942963	21116072	chr1	1.73815557604698	0.035	1.005
1361	1380	JAX00243889	JAX00001366	20	21117333	21306616	chr1	1.71939789093328	0.035	1.005
1381	1400	JAX00243950	JAX00243994	20	21377571	21589062	chr1	1.61716902977101	0.055	1.005
1401	1420	JAX00001388	JAX00244053	20	21589916	21719729	chr1	1.61016388583655	0.055	1.005
1421	1440	JAX00244057	JAX00244094	20	21724793	21983887	chr1	1.65042958719587	0.05	1.005
1441	1460	JAX00244096	JAX00244129	20	21999637	22262727	chr1	1.65642842287039	0.05	1.005
1461	1480	JAX00244130	UNC264385	20	22262996	22421498	chr1	1.6001175660279	0.055	1.005
1481	1500	UNC264416	JAX00244210	20	22475222	22680881	chr1	1.59518397718081	0.055	1.005
1501	1520	JAX00001469	JAX00001477	20	22718471	22819589	chr1	1.53590620714249	0.065	1.005
1521	1540	JAX00244248	JAX00244290	20	22841527	23075605	chr1	1.43415625050558	0.08	1.005
1541	1560	JAX00244291	JAX00244326	20	23075817	23270174	chr1	1.41628205971409	0.08	1.005
1561	1580	UNC276290	JAX00244359	20	23293039	23484110	chr1	1.40185432825613	0.08	1.005
1581	1600	UNC278894	JAX00244396	20	23484917	23658640	chr1	1.41697998243041	0.065	1.005
1601	1620	JAX00001539	UNC283190	20	23682723	23784570	chr1	1.414351636627	0.065	1.005
1621	1640	JAX00244437	JAX00244469	20	23816672	23958732	chr1	1.41400868335002	0.065	1.005
1641	1660	JAX00001563	JAX00001575	20	23973025	24147946	chr1	1.52025362636107	0.05	1.005
1661	1680	JAX00001577	JAX00244590	20	24149191	24326205	chr1	1.54674085308286	0.05	1.005
1681	1700	JAX00244591	JAX00244642	20	24326238	24515849	chr1	1.54806810771072	0.05	1.005
1701	1720	UNC295267	JAX00001615	20	24516479	24672104	chr1	1.57587947927289	0.045	1.005
1721	1740	UNC298468	JAX00244724	20	24739294	24935351	chr1	1.60535433818538	0.045	1.005
1741	1760	JAX00244725	UNC304098	20	24935730	25133192	chr1	1.60817449085902	0.045	1.005
1761	1780	JAX00001646	JAX00191084	20	25133724	25360787	chr1	1.61063128101825	0.045	1.005
1781	1800	JAX00244799	JAX00244845	20	25360850	25501465	chr1	1.61537286965666	0.045	1.005
