from	to	from.marker	to.marker	width	from.bp	to.bp	chromosome	logP	pointwise.permute.pval	genomewide.permute.pval
1	20	JAX00000002	JAX00000020	20	3036178	3245440	chr1	0.889072049319358	1	2
21	40	JAX00000021	JAX00240637	20	3255597	3384323	chr1	0.697211869372669	1	2
41	60	JAX00240639	JAX00240710	20	3394268	3731739	chr1	0.71282285276745	1	2
61	80	JAX00240722	JAX00240769	20	3802346	4085361	chr1	0.807813660475166	1	2
81	100	JAX00240770	JAX00240818	20	4087308	4391468	chr1	0.807500123679254	1	2
101	120	JAX00240819	UNC19217	20	4393280	4658505	chr1	0.889182138930598	1	2
121	140	JAX00000126	JAX00240924	20	4667943	4960568	chr1	0.909129809903088	1	2
141	160	JAX00000148	JAX00000161	20	4978456	5123929	chr1	0.906984100596945	1	2
161	180	JAX00240956	JAX00241009	20	5132457	5593015	chr1	0.902133338442212	1	2
181	200	UNC26205	UNC010516347	20	5624267	6010860	chr1	0.901204313224899	1	2
201	220	JAX00241078	JAX00241108	20	6065566	6314860	chr1	0.987416787183222	1	2
221	240	JAX00000248	JAX00000269	20	6315292	6580655	chr1	0.99916821414612	1	2
241	260	JAX00241158	UNC011026542	20	6590272	6767977	chr1	1.00867328595598	1	2
261	280	JAX00241207	JAX00241237	20	6778077	6919380	chr1	1.08305806004128	1	2
281	300	JAX00241239	JAX00241289	20	6921404	7333833	chr1	1.08789643895189	1	2
301	320	JAX00000330	JAX00241338	20	7420993	7763552	chr1	1.19432807050183	1	2
321	340	JAX00241342	JAX00241384	20	7816568	8136414	chr1	1.36375464306371	1	2
341	360	JAX00190729	JAX00241440	20	8137539	8517457	chr1	1.37644862385333	1	2
361	380	UNC66010	JAX00241502	20	8544211	8910453	chr1	1.40832496270335	1	2
381	400	JAX00000436	JAX00241550	20	8914681	9178334	chr1	1.42747018691019	1	2
401	420	JAX00000458	JAX00241589	20	9180355	9549865	chr1	1.46548774624185	1	2
421	440	JAX00241590	JAX00241642	20	9550177	9713103	chr1	1.47159484908419	1	2
441	460	JAX00241643	JAX00241683	20	9716383	9952456	chr1	1.48929584202462	1	2
461	480	UNC85539	UNC88286	20	9954784	10201611	chr1	1.49128208386841	1	2
481	500	JAX00241734	UNC91280	20	10209065	10494921	chr1	1.4847663994578	1	2
501	520	JAX00241773	UNC94417	20	10534417	10731756	chr1	1.47824222476586	1	2
521	540	JAX00241808	JAX00241841	20	10763382	11028144	chr1	1.47412367950511	1	2
541	560	JAX00241843	JAX00241881	20	11045249	11174557	chr1	1.50997624995454	1	2
561	580	JAX00241884	JAX00241934	20	11176948	11370444	chr1	1.55282304121996	1	2
581	600	JAX00190793	JAX00241974	20	11371422	11643601	chr1	1.55091608000745	1	2
601	620	JAX00241975	UNC114802	20	11659906	11944711	chr1	1.55325871678958	1	2
621	640	JAX00242016	UNC117421	20	11945312	12171863	chr1	1.54813871205874	1	2
641	660	UNC118279	JAX00242103	20	12223307	12501630	chr1	1.54328665440134	1	2
661	680	JAX00000706	JAX00242135	20	12506479	12770480	chr1	1.5590458502614	1	2
681	700	JAX00242136	JAX00242196	20	12770774	12931193	chr1	1.57273299728201	1	2
701	720	JAX00242197	JAX00242249	20	12932369	13082083	chr1	1.57922559675354	1	2
721	740	JAX00242250	JAX00242300	20	13082283	13204708	chr1	1.73078227240724	0	2
741	760	JAX00242307	JAX00242347	20	13225267	13331027	chr1	1.74959975295197	0	2
761	780	JAX00242351	UNC_rs50672660	20	13333935	13643779	chr1	1.7765751163043	0	2
781	800	JAX00242423	JAX00242464	20	13644220	13780770	chr1	1.81731564343582	0	2
801	820	JAX00190851	JAX00000823	20	13791733	14065376	chr1	1.84550967512207	0	2
821	840	JAX00000824	JAX00242551	20	14067111	14281913	chr1	1.76365268885465	0	2
841	860	JAX00000840	JAX00242586	20	14287199	14533976	chr1	1.81977699299087	0	2
861	880	JAX00242592	JAX00242621	20	14558862	14726278	chr1	1.80980880554463	0	2
881	900	JAX00242633	UNC155247	20	14743473	14899115	chr1	1.81180860494173	0	2
901	920	UNC156797	JAX00000917	20	15009358	15311702	chr1	1.81483404913157	0	2
921	940	JAX00242731	JAX00242782	20	15312015	15444704	chr1	1.82145721612347	0	2
941	960	JAX00242783	JAX00000946	20	15444915	15698981	chr1	1.82757129610091	0	2
961	980	JAX00242837	JAX00242870	20	15699075	15806842	chr1	1.78305424656115	0	2
981	1000	JAX00242872	JAX00000962	20	15807212	15897608	chr1	1.76020138460686	0	2
