from	to	from.marker	to.marker	width	from.bp	to.bp	chromosome	logP	pointwise.permute.pval	genomewide.permute.pval
1	20	JAX00000002	JAX00000020	20	3036178	3245440	chr1	2.49027532331653	0	2
21	40	JAX00000021	JAX00240637	20	3255597	3384323	chr1	2.33346646183924	0	2
41	60	JAX00240639	JAX00240710	20	3394268	3731739	chr1	2.31366537676647	0	2
61	80	JAX00240722	JAX00240769	20	3802346	4085361	chr1	2.22242693312276	0	2
81	100	JAX00240770	JAX00240818	20	4087308	4391468	chr1	2.23441468927775	0	2
101	120	JAX00240819	UNC19217	20	4393280	4658505	chr1	2.69392747766818	0	2
121	140	JAX00000126	JAX00240924	20	4667943	4960568	chr1	2.81134157779749	0	2
141	160	JAX00000148	JAX00000161	20	4978456	5123929	chr1	2.80968077430067	0	2
161	180	JAX00240956	JAX00241009	20	5132457	5593015	chr1	2.80766891778585	0	2
181	200	UNC26205	UNC010516347	20	5624267	6010860	chr1	2.80040289487438	0	2
201	220	JAX00241078	JAX00241108	20	6065566	6314860	chr1	2.71273100927097	0	2
221	240	JAX00000248	JAX00000269	20	6315292	6580655	chr1	2.71196814038658	0	2
241	260	JAX00241158	UNC011026542	20	6590272	6767977	chr1	2.71560913335582	0	2
261	280	JAX00241207	JAX00241237	20	6778077	6919380	chr1	2.86441937724395	0	1
281	300	JAX00241239	JAX00241289	20	6921404	7333833	chr1	2.87277327578893	0	1
301	320	JAX00000330	JAX00241338	20	7420993	7763552	chr1	2.95272224814731	0	1
321	340	JAX00241342	JAX00241384	20	7816568	8136414	chr1	3.05859525906964	0	1
341	360	JAX00190729	JAX00241440	20	8137539	8517457	chr1	3.05777896953338	0	1
361	380	UNC66010	JAX00241502	20	8544211	8910453	chr1	2.99186084094205	0	1
381	400	JAX00000436	JAX00241550	20	8914681	9178334	chr1	2.91621034419174	0	1
401	420	JAX00000458	JAX00241589	20	9180355	9549865	chr1	2.88981370917612	0	1
421	440	JAX00241590	JAX00241642	20	9550177	9713103	chr1	2.85688563624325	0	2
441	460	JAX00241643	JAX00241683	20	9716383	9952456	chr1	2.87496896762297	0	1
461	480	UNC85539	UNC88286	20	9954784	10201611	chr1	2.88811885581781	0	1
481	500	JAX00241734	UNC91280	20	10209065	10494921	chr1	2.8921175143756	0	1
501	520	JAX00241773	UNC94417	20	10534417	10731756	chr1	2.89635990998394	0	1
521	540	JAX00241808	JAX00241841	20	10763382	11028144	chr1	2.89958462138059	0	1
541	560	JAX00241843	JAX00241881	20	11045249	11174557	chr1	2.98400627545238	0	1
561	580	JAX00241884	JAX00241934	20	11176948	11370444	chr1	3.0773194193227	0	1
581	600	JAX00190793	JAX00241974	20	11371422	11643601	chr1	3.10937430142409	0	1
601	620	JAX00241975	UNC114802	20	11659906	11944711	chr1	3.27429114937465	0	1
621	640	JAX00242016	UNC117421	20	11945312	12171863	chr1	3.24266811150783	0	1
641	660	UNC118279	JAX00242103	20	12223307	12501630	chr1	3.22311572980117	0	1
661	680	JAX00000706	JAX00242135	20	12506479	12770480	chr1	3.22521778310765	0	1
681	700	JAX00242136	JAX00242196	20	12770774	12931193	chr1	3.23135180321649	0	1
701	720	JAX00242197	JAX00242249	20	12932369	13082083	chr1	3.38086061558216	0	0
721	740	JAX00242250	JAX00242300	20	13082283	13204708	chr1	3.6208966703943	0	0
741	760	JAX00242307	JAX00242347	20	13225267	13331027	chr1	3.61471849100644	0	0
761	780	JAX00242351	UNC_rs50672660	20	13333935	13643779	chr1	3.61165482407059	0	0
781	800	JAX00242423	JAX00242464	20	13644220	13780770	chr1	3.59035997336184	0	0
801	820	JAX00190851	JAX00000823	20	13791733	14065376	chr1	3.58358751277289	0	0
821	840	JAX00000824	JAX00242551	20	14067111	14281913	chr1	3.00127271754166	0	1
841	860	JAX00000840	JAX00242586	20	14287199	14533976	chr1	2.7368902479544	0	2
861	880	JAX00242592	JAX00242621	20	14558862	14726278	chr1	2.60731603541919	0	2
881	900	JAX00242633	UNC155247	20	14743473	14899115	chr1	2.57786643519103	0	2
901	920	UNC156797	JAX00000917	20	15009358	15311702	chr1	2.65241210030899	0	2
921	940	JAX00242731	JAX00242782	20	15312015	15444704	chr1	2.64238217293438	0	2
941	960	JAX00242783	JAX00000946	20	15444915	15698981	chr1	2.63120150614297	0	2
961	980	JAX00242837	JAX00242870	20	15699075	15806842	chr1	2.74329125258269	0	2
981	1000	JAX00242872	JAX00000962	20	15807212	15897608	chr1	2.78311045012803	0	2
1001	1020	JAX00242913	JAX00242956	20	15914927	16229368	chr1	2.66085095990418	0	2
1021	1040	JAX00242961	JAX00243012	20	16235840	16616526	chr1	1.99376543439012	0	2
1041	1060	JAX00243014	JAX00001042	20	16629188	16987502	chr1	2.32736371795301	0	2
1061	1080	JAX00001043	UNC187637	20	17003453	17311417	chr1	3.54987984298565	0	0
1081	1100	JAX00243118	JAX00243212	20	17315373	17739246	chr1	3.33722452445171	0	1
1101	1120	JAX00243213	JAX00243269	20	17742752	18123873	chr1	3.20240973010928	0	1
1121	1140	JAX00243271	JAX00190945	20	18135997	18454027	chr1	3.15478891692914	0	1
1141	1160	JAX00243329	JAX00190952	20	18457577	18719231	chr1	3.16785990882696	0	1
1161	1180	JAX00243387	JAX00243430	20	18749697	18966677	chr1	3.16988154778009	0	1
1181	1200	JAX00243437	JAX00243486	20	19019130	19443012	chr1	3.23326551882104	0	1
1201	1220	JAX00001227	UNC222054	20	19445165	19707165	chr1	3.27840590471369	0	1
1221	1240	JAX00001247	JAX00243588	20	19722593	19863627	chr1	3.27762716688475	0	1
1241	1260	JAX00001257	JAX00001274	20	19867877	20064029	chr1	3.27687399078002	0	1
1261	1280	UNC227355	JAX00001294	20	20074019	20341218	chr1	3.27612643824956	0	1
1281	1300	JAX00243693	JAX00243731	20	20367232	20541966	chr1	3.27730867292493	0	1
1301	1320	JAX00243741	JAX00243797	20	20561596	20793448	chr1	3.27798391401347	0	1
1321	1340	JAX00243802	UNC241230	20	20806285	20938029	chr1	3.27581314534392	0	1
1341	1360	JAX00243846	UNC244201	20	20942963	21116072	chr1	3.27403610642256	0	1
1361	1380	JAX00243889	JAX00001366	20	21117333	21306616	chr1	3.28951108161758	0	1
1381	1400	JAX00243950	JAX00243994	20	21377571	21589062	chr1	3.36243447827552	0	0
1401	1420	JAX00001388	JAX00244053	20	21589916	21719729	chr1	3.36452038608827	0	0
1421	1440	JAX00244057	JAX00244094	20	21724793	21983887	chr1	3.35617569706387	0	0
1441	1460	JAX00244096	JAX00244129	20	21999637	22262727	chr1	3.35687813819209	0	0
1461	1480	JAX00244130	UNC264385	20	22262996	22421498	chr1	3.36979306738209	0	0
1481	1500	UNC264416	JAX00244210	20	22475222	22680881	chr1	3.36762713581707	0	0
1501	1520	JAX00001469	JAX00001477	20	22718471	22819589	chr1	3.62719958605127	0	0
1521	1540	JAX00244248	JAX00244290	20	22841527	23075605	chr1	3.70359282826847	0	0
1541	1560	JAX00244291	JAX00244326	20	23075817	23270174	chr1	3.68833490751527	0	0
1561	1580	UNC276290	JAX00244359	20	23293039	23484110	chr1	3.66074074851804	0	0
1581	1600	UNC278894	JAX00244396	20	23484917	23658640	chr1	3.23258885196257	0	1
1601	1620	JAX00001539	UNC283190	20	23682723	23784570	chr1	3.19962474273201	0	1
1621	1640	JAX00244437	JAX00244469	20	23816672	23958732	chr1	3.1918599321484	0	1
1641	1660	JAX00001563	JAX00001575	20	23973025	24147946	chr1	3.26496471324521	0	1
1661	1680	JAX00001577	JAX00244590	20	24149191	24326205	chr1	3.26571063105739	0	1
1681	1700	JAX00244591	JAX00244642	20	24326238	24515849	chr1	3.2635935880885	0	1
1701	1720	UNC295267	JAX00001615	20	24516479	24672104	chr1	3.18734601219934	0	1
1721	1740	UNC298468	JAX00244724	20	24739294	24935351	chr1	3.0342196416567	0	1
1741	1760	JAX00244725	UNC304098	20	24935730	25133192	chr1	3.03275190187542	0	1
