from	to	from.marker	to.marker	width	from.bp	to.bp	chromosome	logP
1	20	JAX00000002	JAX00000020	20	3036178	3245440	chr1	5.10398751022657
21	40	JAX00000021	JAX00240637	20	3255597	3384323	chr1	4.75259508817414
41	60	JAX00240639	JAX00240710	20	3394268	3731739	chr1	4.64402354374359
61	80	JAX00240722	JAX00240769	20	3802346	4085361	chr1	4.1366528549482
81	100	JAX00240770	JAX00240818	20	4087308	4391468	chr1	4.14070565249009
101	120	JAX00240819	UNC19217	20	4393280	4658505	chr1	4.14040908540037
121	140	JAX00000126	JAX00240924	20	4667943	4960568	chr1	4.13386344769919
141	160	JAX00000148	JAX00000161	20	4978456	5123929	chr1	4.11678994013732
161	180	JAX00240956	JAX00241009	20	5132457	5593015	chr1	4.09098672399636
181	200	UNC26205	UNC010516347	20	5624267	6010860	chr1	4.03962186409643
201	220	JAX00241078	JAX00241108	20	6065566	6314860	chr1	3.95324538059683
221	240	JAX00000248	JAX00000269	20	6315292	6580655	chr1	3.94520242602974
241	260	JAX00241158	UNC011026542	20	6590272	6767977	chr1	3.91570442128243
261	280	JAX00241207	JAX00241237	20	6778077	6919380	chr1	3.5081012283537
281	300	JAX00241239	JAX00241289	20	6921404	7333833	chr1	3.50897966309068
301	320	JAX00000330	JAX00241338	20	7420993	7763552	chr1	3.53170852810125
321	340	JAX00241342	JAX00241384	20	7816568	8136414	chr1	3.56350872154925
341	360	JAX00190729	JAX00241440	20	8137539	8517457	chr1	3.73538061557572
361	380	UNC66010	JAX00241502	20	8544211	8910453	chr1	4.1250773126483
381	400	JAX00000436	JAX00241550	20	8914681	9178334	chr1	4.3303762863946
401	420	JAX00000458	JAX00241589	20	9180355	9549865	chr1	4.1492517348748
421	440	JAX00241590	JAX00241642	20	9550177	9713103	chr1	3.53980524515795
441	460	JAX00241643	JAX00241683	20	9716383	9952456	chr1	3.50616638191499
461	480	UNC85539	UNC88286	20	9954784	10201611	chr1	3.48953751045711
481	500	JAX00241734	UNC91280	20	10209065	10494921	chr1	3.49033510269482
501	520	JAX00241773	UNC94417	20	10534417	10731756	chr1	3.49113631035237
521	540	JAX00241808	JAX00241841	20	10763382	11028144	chr1	3.49186202412909
541	560	JAX00241843	JAX00241881	20	11045249	11174557	chr1	3.62207497926862
561	580	JAX00241884	JAX00241934	20	11176948	11370444	chr1	3.78861247827374
581	600	JAX00190793	JAX00241974	20	11371422	11643601	chr1	3.78933787104036
601	620	JAX00241975	UNC114802	20	11659906	11944711	chr1	3.58453068653494
621	640	JAX00242016	UNC117421	20	11945312	12171863	chr1	3.56697145821856
641	660	UNC118279	JAX00242103	20	12223307	12501630	chr1	3.55905936440778
661	680	JAX00000706	JAX00242135	20	12506479	12770480	chr1	3.65873358462291
681	700	JAX00242136	JAX00242196	20	12770774	12931193	chr1	3.78243301726469
701	720	JAX00242197	JAX00242249	20	12932369	13082083	chr1	3.64731078040852
721	740	JAX00242250	JAX00242300	20	13082283	13204708	chr1	3.39175831123113
741	760	JAX00242307	JAX00242347	20	13225267	13331027	chr1	3.40559896545999
761	780	JAX00242351	UNC_rs50672660	20	13333935	13643779	chr1	3.42758892332647
781	800	JAX00242423	JAX00242464	20	13644220	13780770	chr1	3.45434344039009
801	820	JAX00190851	JAX00000823	20	13791733	14065376	chr1	3.4745738230594
821	840	JAX00000824	JAX00242551	20	14067111	14281913	chr1	3.54546917171612
841	860	JAX00000840	JAX00242586	20	14287199	14533976	chr1	4.03115788349033
861	880	JAX00242592	JAX00242621	20	14558862	14726278	chr1	4.19116313684617
881	900	JAX00242633	UNC155247	20	14743473	14899115	chr1	4.18275300297155
901	920	UNC156797	JAX00000917	20	15009358	15311702	chr1	4.20759393173172
921	940	JAX00242731	JAX00242782	20	15312015	15444704	chr1	4.20682971473769
941	960	JAX00242783	JAX00000946	20	15444915	15698981	chr1	4.20973303839369
961	980	JAX00242837	JAX00242870	20	15699075	15806842	chr1	3.98678968287866
981	1000	JAX00242872	JAX00000962	20	15807212	15897608	chr1	3.89617844314608
1001	1020	JAX00242913	JAX00242956	20	15914927	16229368	chr1	3.89004797379415
1021	1040	JAX00242961	JAX00243012	20	16235840	16616526	chr1	3.89860850805719
1041	1060	JAX00243014	JAX00001042	20	16629188	16987502	chr1	3.91278978864224
1061	1080	JAX00001043	UNC187637	20	17003453	17311417	chr1	3.88362076839426
