from	to	from.marker	to.marker	width	from.bp	to.bp	chromosome	logP	pointwise.permute.pval	genomewide.permute.pval
1	20	JAX00000002	JAX00000020	20	3036178	3245440	chr1	1.81140443125738	0	2
21	40	JAX00000021	JAX00240637	20	3255597	3384323	chr1	1.86755052343916	0	2
41	60	JAX00240639	JAX00240710	20	3394268	3731739	chr1	1.71991295969584	0	2
61	80	JAX00240722	JAX00240769	20	3802346	4085361	chr1	0.986857995175155	0	2
81	100	JAX00240770	JAX00240818	20	4087308	4391468	chr1	0.987144044817029	0	2
101	120	JAX00240819	UNC19217	20	4393280	4658505	chr1	1.01739186897961	0	2
121	140	JAX00000126	JAX00240924	20	4667943	4960568	chr1	1.02141225447249	0	2
141	160	JAX00000148	JAX00000161	20	4978456	5123929	chr1	1.01620937328666	0	2
161	180	JAX00240956	JAX00241009	20	5132457	5593015	chr1	1.00811808883474	0	2
181	200	UNC26205	UNC010516347	20	5624267	6010860	chr1	1.010516177454	0	2
201	220	JAX00241078	JAX00241108	20	6065566	6314860	chr1	1.37372419939979	0	2
221	240	JAX00000248	JAX00000269	20	6315292	6580655	chr1	1.37874985390643	0	2
241	260	JAX00241158	UNC011026542	20	6590272	6767977	chr1	1.36591207431147	0	2
261	280	JAX00241207	JAX00241237	20	6778077	6919380	chr1	1.08782665617457	0	2
281	300	JAX00241239	JAX00241289	20	6921404	7333833	chr1	1.08728037939853	0	2
301	320	JAX00000330	JAX00241338	20	7420993	7763552	chr1	1.12259437377673	0	2
321	340	JAX00241342	JAX00241384	20	7816568	8136414	chr1	1.17138430427626	0	2
341	360	JAX00190729	JAX00241440	20	8137539	8517457	chr1	1.38281601023077	0	2
361	380	UNC66010	JAX00241502	20	8544211	8910453	chr1	1.77882651237584	0	2
381	400	JAX00000436	JAX00241550	20	8914681	9178334	chr1	1.93597000664959	0	2
401	420	JAX00000458	JAX00241589	20	9180355	9549865	chr1	1.78608263579386	0	2
421	440	JAX00241590	JAX00241642	20	9550177	9713103	chr1	1.18037805855055	0	2
441	460	JAX00241643	JAX00241683	20	9716383	9952456	chr1	1.159598240816	0	2
461	480	UNC85539	UNC88286	20	9954784	10201611	chr1	1.15017817551292	0	2
481	500	JAX00241734	UNC91280	20	10209065	10494921	chr1	1.15280313347083	0	2
501	520	JAX00241773	UNC94417	20	10534417	10731756	chr1	1.15555652788781	0	2
521	540	JAX00241808	JAX00241841	20	10763382	11028144	chr1	1.15782386946743	0	2
541	560	JAX00241843	JAX00241881	20	11045249	11174557	chr1	1.33836720775134	0	2
561	580	JAX00241884	JAX00241934	20	11176948	11370444	chr1	1.58744959642339	0	2
581	600	JAX00190793	JAX00241974	20	11371422	11643601	chr1	1.58927557729558	0	2
601	620	JAX00241975	UNC114802	20	11659906	11944711	chr1	1.35054170665861	0	2
621	640	JAX00242016	UNC117421	20	11945312	12171863	chr1	1.33492118093628	0	2
641	660	UNC118279	JAX00242103	20	12223307	12501630	chr1	1.33290578753066	0	2
661	680	JAX00000706	JAX00242135	20	12506479	12770480	chr1	1.45188330370825	0	2
681	700	JAX00242136	JAX00242196	20	12770774	12931193	chr1	1.59638570475348	0	2
701	720	JAX00242197	JAX00242249	20	12932369	13082083	chr1	1.48731873273167	0	2
721	740	JAX00242250	JAX00242300	20	13082283	13204708	chr1	1.52302907469898	0	2
741	760	JAX00242307	JAX00242347	20	13225267	13331027	chr1	1.5860052394281	0	2
761	780	JAX00242351	UNC_rs50672660	20	13333935	13643779	chr1	1.67455731903517	0	2
781	800	JAX00242423	JAX00242464	20	13644220	13780770	chr1	1.77299897171426	0	2
801	820	JAX00190851	JAX00000823	20	13791733	14065376	chr1	1.82490633298978	0	2
821	840	JAX00000824	JAX00242551	20	14067111	14281913	chr1	2.13674063606747	0	2
841	860	JAX00000840	JAX00242586	20	14287199	14533976	chr1	2.93509685095053	0	1
861	880	JAX00242592	JAX00242621	20	14558862	14726278	chr1	3.15326551119439	0	1
881	900	JAX00242633	UNC155247	20	14743473	14899115	chr1	3.15670165199897	0	1
901	920	UNC156797	JAX00000917	20	15009358	15311702	chr1	3.19901675233475	0	1
921	940	JAX00242731	JAX00242782	20	15312015	15444704	chr1	3.19931135357003	0	1
941	960	JAX00242783	JAX00000946	20	15444915	15698981	chr1	3.22405867876224	0	1
